AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,1,71260,,92549,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,512,,Oman,,,,,,2,Exports,,36,Australia,2016
,,,,1,3691,,1532,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,520,,Nauru,,,,,,2,Exports,,36,Australia,2016
,,,,1,88986,,100986,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,540,,New Caledonia,,,,,,2,Exports,,36,Australia,2016
,,,,1,55272,,39986,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,554,,New Zealand,,,,,,2,Exports,,36,Australia,2016
,,,,1,97693,,110224,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,598,,Papua New Guinea,,,,,,2,Exports,,36,Australia,2016
,,,,1,720436,,655342,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,608,,Philippines,,,,,,2,Exports,,36,Australia,2016
,,,,1,93299,,87693,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,634,,Qatar,,,,,,2,Exports,,36,Australia,2016
,,,,1,599180,,566944,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,682,,Saudi Arabia,,,,,,2,Exports,,36,Australia,2016
,,,,1,158130,,95657,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,699,,India,,,,,,2,Exports,,36,Australia,2016
,,,,1,1657975,,1719563,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,702,,Singapore,,,,,,2,Exports,,36,Australia,2016
,,,,1,762919,,826382,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,704,,Viet Nam,,,,,,2,Exports,,36,Australia,2016
,,,,1,118440,,134235,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,764,,Thailand,,,,,,2,Exports,,36,Australia,2016
,,,,1,2243289,,1797647,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2016
,,,,1,240,,327,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,798,,Tuvalu,,,,,,2,Exports,,36,Australia,2016
,,,,1,281375,,434366,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,842,,United States of America,,,,,,2,Exports,,36,Australia,2016
,,,,1,11823,,10916,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,882,,Samoa,,,,,,2,Exports,,36,Australia,2016
,,,,1,872724,,725312,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201701,January 2017,HS,,,818,,Egypt,,,,,,1,Imports,,36,Australia,2017
,,,,1,447448,,424430,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201711,November 2017,HS,,,608,,Philippines,,,,,,2,Exports,,36,Australia,2017
,,,,1,34236,,36633,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201711,November 2017,HS,,,626,,Timor-Leste,,,,,,2,Exports,,36,Australia,2017
,,,,1,90898,,80150,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201711,November 2017,HS,,,634,,Qatar,,,,,,2,Exports,,36,Australia,2017
,,,,1,3908211,,6307461,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201402,February 2014,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2014
,,,,1,24000,,21202,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201402,February 2014,HS,,,818,,Egypt,,,,,,1,Imports,,36,Australia,2014
,,,,1,3884211,,6286259,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201402,February 2014,HS,,,842,,United States of America,,,,,,1,Imports,,36,Australia,2014
,,,,1,810,,1333,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201707,July 2017,HS,,,296,,Kiribati,,,,,,2,Exports,,36,Australia,2017
,,,,1,13359500,,20201970,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201707,July 2017,HS,,,156,,China,,,,,,2,Exports,,36,Australia,2017
,,,,1,2458160,,2237299,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201710,October 2017,HS,,,458,,Malaysia,,,,,,2,Exports,,36,Australia,2017
,,,,1,32068724,,32399201,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201308,August 2013,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2013
,,,,1,790566,,1238313,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201709,September 2017,HS,,,842,,United States of America,,,,,,2,Exports,,36,Australia,2017
,,,,1,16314,,46170,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201710,October 2017,HS,,,540,,New Caledonia,,,,,,2,Exports,,36,Australia,2017
,,,,1,24570,,20658,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201712,December 2017,HS,,,144,,Sri Lanka,,,,,,2,Exports,,36,Australia,2017
,,,,1,1179180,,1296921,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201706,June 2017,HS,,,124,,Canada,,,,,,2,Exports,,36,Australia,2017
,,,,1,46620,,48900,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201706,June 2017,HS,,,104,,Myanmar,,,,,,2,Exports,,36,Australia,2017
,,,,1,17790,,19662,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201707,July 2017,HS,,,104,,Myanmar,,,,,,2,Exports,,36,Australia,2017
,,,,1,20286,,42741,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201707,July 2017,HS,,,364,,Iran,,,,,,2,Exports,,36,Australia,2017
,,,,1,23940,,32371,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201712,December 2017,HS,,,156,,China,,,,,,2,Exports,,36,Australia,2017
,,,,1,16202880,,19697110,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2014
,,,,1,25200,,11212,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,50,,Bangladesh,,,,,,2,Exports,,36,Australia,2014
,,,,1,2150,,3353,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,90,,Solomon Isds,,,,,,2,Exports,,36,Australia,2014
,,,,1,13324,,16595,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,96,,Brunei Darussalam,,,,,,2,Exports,,36,Australia,2014
,,,,1,577464,,795661,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,124,,Canada,,,,,,2,Exports,,36,Australia,2014
,,,,1,267600,,192347,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,144,,Sri Lanka,,,,,,2,Exports,,36,Australia,2014
,,,,1,1618596,,2386765,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,156,,China,,,,,,2,Exports,,36,Australia,2014
,,,,1,25200,,18883,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2014
,,,,1,48575,,97998,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,258,,French Polynesia,,,,,,2,Exports,,36,Australia,2014
,,,,1,1260,,1967,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,296,,Kiribati,,,,,,2,Exports,,36,Australia,2014
,,,,1,40635,,31459,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201406,June 2014,HS,,,316,,Guam,,,,,,2,Exports,,36,Australia,2014
