Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
481014,2007,"Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-d",480251
481019,2002,Other,480251
481019,2007,"Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-d",480251
481021,1996,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process:--Light-weight coated paper",480251
481022,2002,Lightweight coated paper,480251
481022,2007,"Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-d",480251
481029,1996,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process :-- Other",480251
481029,2002,Other,480251
481029,2007,"Paper & paperboard of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-d",480251
481031,1996,"Kraft paper and paperboard...:-- Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m2 or less",480251
481031,2002,"Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m² or less",480251
481031,2007,"Kraft paper & paperboard, other than that of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surf",480251
481032,1996,"Kraft paper and paperboard...:-- Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m2",480251
481032,2002,"Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing more than 150 g/m²",480251
481032,2007,"Kraft paper & paperboard, other than that of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surf",480251
481039,1996,"Kraft paper and paperboard, other than that of a kind used for writing, printing or other graphic purposes :-- Other",480251
481039,2002,Other,480251
481039,2007,"Kraft paper & paperboard, other than that of a kind used for writing/printing/other graphic purposes, coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surf",480251
481091,1996,Other paper and paperboard :-- Multi-ply,480251
481092,2002,Multiply,480251
481092,2007,"Paper & paperboard(excl. of 4810.13-4810.39), coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decorated/printed, in rolls/rectan",480251
481099,1996,Other paper and paperboard :-- Other,480251
481099,2002,Other,480251
481099,2007,"Paper & paperboard(excl. of 4810.13-4810.92), coated on one/both sides with kaolin (China clay)/other inorganic substances, with/without a binder, & with no other coating, whether/not surface-coloured, surface-decorated/printed, in rolls/rectan",
481121,1996,Gummed or adhesive paper and paperboard :-- Self-adhesive,
481129,1996,Gummed or adhesive paper and paperboard :-- Other,
481131,1996,"Paper and paperboard coated, impregnated or covered with plastics (excluding adhesives) :-- Bleached, weighing more than 150 g/m2",
481139,1996,"Paper and paperboard coated, impregnated or covered with plastics (excluding adhesives) :-- Other",
481140,1996,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",
481141,2002,Self-adhesive,
481141,2007,"Gummed/adhesive paper,paperboard,coated, impregnated, covered, surface-coloured, surface-decorated/printed, in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.09/48.10, self-a",
481149,2002,Other,
481149,2007,"Gummed/adhesive paper,paperboard (excl. of 4811.41), coated, impregnated, covered, surface-coloured, surface-decorated/printed, in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03",
481151,2002,"Bleached, weighing more than 150 g/m²",
481151,2007,"Paper&paperboard coated/impregnated/ covered with plastics (excluding adhesives), bleached, weighing > 150 g/m¦, in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.09/48.10",
481159,2002,Other,
481159,2007,"Paper&paperboard coated/impregnated/ covered with plastics (excl. adhesives&of 4811.51), in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.09/48.10",
482311,1996,"Gummed or adhesive paper, in strips or rolls :-- Self-adhesive",
482312,2002,Selfadhesive,
482319,1996,"Gummed or adhesive paper, in strips or rolls :-- Other",
482319,2002,Other,
482320,1996,Filter paper and paperboard,
482320,2002,Filter paper and paperboard,
482320,2007,"Filter paper & paperboard, cut to size/shape",
482340,1996,"Rolls, sheets and dials, printed for self-recording apparatus",
482340,2002,"Rolls, sheets and dials, printed for selfrecording apparatus",
482340,2007,"Rolls, sheets & dials, printed for self-recording apparatus",
482351,1996,"Other paper and paperboard, of a kind used for writing, printing or other graphic purposes :-- Printed, embossed or perforated",
482359,1996,"Other paper and paperboard, of a kind used for writing, printing or other graphic purposes :-- Other",
480990,1996,Other,480910
480990,2002,Other,480910
480990,2007,"Carbon paper, other copying/transfer papers (including coated/impregnated paper for duplicator stencils/offset plates), whether/not printed, in rolls/sheets.",480910
481490,1996,Other,481430
481490,2002,Other,481430
481490,2007,Wallpaper&similar wall coverings(excl. of 4814.10&4814.20); window transparencies of paper.,481430
481110,1996,"Tarred, bituminised or asphalted paper and paperboard",481500
481110,2002,"Tarred, bituminised or asphalted paper and paperboard",481500
481110,2007,"Tarred/bituminised/asphalted paper,paperboard,  coated, impregnated, covered, surface-coloured, surface-decorated/printed, in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.0",481500
481160,2002,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",481500
481160,2007,"Paper&paperboard coated/impregnated/ covered with wax/paraffin wax/stearin/oil/glycero, in rolls/rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03,48.09/48.10",481500
481190,1996,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres",481500
481190,2002,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres",481500
481190,2007,"Paper, paperboard, cellulose wadding&webs of cellulose fibres(excl. of 4811.10-4811.60), coated/impregnated/covered/surface-coloured/surface-decorated/printed, in rolls/rectangular (including square) sheets, of any size, other than goods of the",481500
482390,1996,Other,481500
482390,2002,Other,481500
482390,2007,"Paper, paperboard, cellulose wadding&webs of cellulose fibres, cut to size/shape; other articles of paper pulp, paper, paperboard, cellulose wadding/webs of cellulose fibres, n.e.s. in Ch.48",481500
481610,1996,Carbon or similar copying papers,481690
481610,2002,Carbon or similar copying papers,481690
481630,1996,Duplicator stencils,481690
481630,2002,Duplicator stencils,481690
482361,2007,"Trays, dishes, plates, cups&the like, of paper/paperboard, of bamboo",482360
482369,2007,"Trays, dishes, plates, cups&the like, of paper/paperboard (excl. of 4823.61)",482360
500310,1996,Not carded or combed,500300
500310,2002,Not carded or combed,500300
500390,1996,Other,500300
500390,2002,Other,500300
510211,2002,Of Kashmir (cashmere) goats,510210
510211,2007,"Fine animal hair, not carded/combed, of Kashmir (cashmere) goats",510210
510219,2002,Other,510210
510219,2007,"Fine animal hair, not carded/combed, other than of Kashmir (cashmere) goats",510210
510531,2002,Of Kashmir (cashmere) goats,510530
510531,2007,"Fine animal hair, carded/combed, of Kashmir (cashmere) goats",510530
510539,2002,Other,510530
510539,2007,"Fine animal hair, carded/combed, other than of Kashmire (cashmere) goats",510530
520859,1996,Printed :-- Other fabrics,520853
520859,2002,Other fabrics,520853
520859,2007,"Woven fabrics of cotton, containing 85%/more by weight of cotton, printed, weighing not>200 g/m¦",520853
521019,1996,Unbleached :-- Other fabrics,521012
521019,2002,Other fabrics,521012
521019,2007,"Woven fabrics of cotton(excl. of 5210.11), containing <85% by weight of cotton, mixed mainly/solely with man-made fibres, unbleached, plain weave, weighing not >200g/m¦",521012
521029,1996,Bleached :-- Other fabrics,521022
521029,2002,Other fabrics,521022
521029,2007,"Woven fabrics of cotton(excl. of 5210.21), containing <85% by weight of cotton, mixed mainly/solely with man-made fibres, bleached, plain weave, weighing not >200g/m¦",521022
521049,1996,Of yarns of different colours :-- Other fabrics,521042
521049,2002,Other fabrics,521042
521049,2007,"Woven fabrics of cotton(excl. of 5210.41), containing <85% by weight of cotton, mixed mainly/solely with man-made fibres, of yarns of different colours, plain weave, weighing not >200g/m¦",521042
521059,1996,Printed :-- Other fabrics,521052
521059,2002,Other fabrics,521052
521059,2007,"Woven fabrics of cotton(excl. of 5210.51), containing <85% by weight of cotton, mixed mainly/solely with man-made fibres, printed, plain weave, weighing not >200g/m¦",521052
521121,1996,Bleached :-- Plain weave,521120
521121,2002,Plain weave,521120
521122,1996,"Bleached :-- 3-thread or 4-thread twill, including cross twill",521120
521122,2002,"3thread or 4thread twill, including cross twill",521120
521129,1996,Bleached :-- Other fabrics,521120
521129,2002,Other fabrics,521120
530410,1996,"Sisal and other textile fibres of the genus Agave, raw",530500
530410,2002,"Sisal and other textile fibres of the genus Agave, raw",530500
530490,1996,Other,530500
530490,2002,Other,530500
530511,1996,Of coconut (coir) :-- Raw,530500
530511,2002,Raw,530500
530519,1996,Of coconut (coir) :-- Other,530500
530519,2002,Other,530500
530521,1996,Of abaca :-- Raw,530500
530521,2002,Raw,530500
530529,1996,Of abaca :-- Other,530500
530529,2002,Other,530500
530590,2002,Other,530500
530591,1996,Other :-- Raw,530500
530599,1996,Other,530500
530830,1996,Paper yarn,530890
540211,2007,"High tenacity yarn other than textured yarn/sewing thread, of aramids, not put up for retail sale",540210
540219,2007,"High tenacity yarn other than textured yarn/sewing thread, of nylon/other polyamides (excl. of 5402.11), not put up for retail sale",540210
540234,2007,"Textured yarn other than sewing thread, of polypropylene, not put up for retail sale",540239
540242,1996,"Other yarn, single, untwisted or with a twist not exceeding 50 turns per metre :-- Of polyesters, partially oriented",540241
540242,2002,"Of polyesters, partially oriented",540241
540243,1996,"Other yarn, single, untwisted or with a twist not exceeding 50 turns per metre :-- Of polyesters, other",540241
540243,2002,"Of polyesters, other",540241
540244,2007,"Yarn other than high tenacity/textured yarn (excl. sewing thread), single/untwisted/with a twist not >50 turns per metre, elastomeric, not put up for retail sale",540241
540245,2007,"Yarn other than high tenacity/textured yarn (excl. sewing thread), single/untwisted/with a twist not >50 turns per metre, of nylon/other polyamides, not put up for retail sale",540241
540246,2007,"Yarn other than high tenacity/textured yarn (excl. sewing thread), single/untwisted/with a twist not >50 turns per metre, of polyesters, partially oriented, not put up for retail sale",540241
540247,2007,"Yarn other than high tenacity/textured yarn (excl. sewing thread; excl. of 5412.46), single/untwisted/with a twist not >50 turns per metre, of polyesters, not put up for retail sale",540241
540248,2007,"Yarn other than high tenacity/textured yarn (excl. sewing thread), single/untwisted/with a twist not >50 turns per metre, of polypropylene, not put up for retail sale",540241
540249,1996,"Other yarn, single, untwisted or with a twist not exceeding 50 turns per metre :-- Other",540241
540249,2002,Other,540241
540249,2007,"Yarn other than high tenacity/textured yarn (excl. sewing thread,excl .of 5402.44-5412.48), single/untwisted/with a twist not >50 turns per metre, not put up for retail sale",540241
540331,1996,"Other yarn, single :-- Of viscose rayon, untwisted or with a twist not exceeding 120 turns per metre",540320
540331,2002,"Of viscose rayon, untwisted or with a twist not exceeding 120 turns per metre",540320
540331,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10), single, of viscose rayon, untwisted/with a twist not >120 turns per metre, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540332,1996,"Other yarn, single :-- Of viscose rayon, with a twist exceeding 120 turns per metre",540320
540332,2002,"Of viscose rayon, with a twist exceeding 120 turns per metre",540320
540332,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10), single, of viscose rayon, untwisted/with a twist >120 turns per metre, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540333,1996,"Other yarn, single :-- Of cellulose acetate",540320
540333,2002,Of cellulose acetate,540320
540333,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10), single, of cellulose acetate, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540339,1996,"Other yarn, single :-- Other",540320
540339,2002,Other,540320
540339,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10,5403.31-5403.33), single, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540341,1996,"Other yarn, multiple (folded) or cabled :-- Of viscose rayon",540320
540341,2002,Of viscose rayon,540320
540341,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10), mult./cab., of viscose rayon, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540342,1996,"Other yarn, multiple (folded) or cabled :-- Of cellulose acetate",540320
540342,2002,Of cellulose acetate,540320
540342,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10), mult./cab., of cellulose acetate, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540349,1996,"Other yarn, multiple (folded) or cabled :-- Other",540320
540349,2002,Other,540320
540349,2007,"Artificial filament yarn (other than sewing thread,excl. of 5403.10, 5403.41&5403.42), mult./cab., of cellulose acetate, incl. artificial monofilament of <67dtx., not put up for retail sale",540320
540411,2007,"Synthetic monofilament of 67dtx./more & of which no cross-sectional dim. exceeds 1mm, elastomeric",540410
540412,2007,"Synthetic monofilament, of polypropylene, of 67 decitex/more & of which no cross-sectional dimension exceeds 1 mm; strip & the like (eg. artificial straw) of synthetic textile materials of an apparent width not > 5 mm; other than elastomeric.",540410
540419,2007,"Synthetic monofilament, other than of polypropylene/elastomeric, of 67 decitex/more & of which no cross-sectional dimension exceeds 1 mm; strip & the like (eg. artificial straw) of synthetic textile materials of an apparent width not > 5 mm.",540410
540610,1996,Synthetic filament yarn,540600
540610,2002,Synthetic filament yarn,540600
540620,1996,Artificial filament yarn,540600
540620,2002,Artificial filament yarn,540600
550140,2007,"Synthetic filament tow, of polypropylene",550190
550311,2007,"Synthetic staple fibres, of aramids, of nylon/other polyamides; not carded, combed/othw. processed for spinning.",550310
550319,2007,"Synthetic staple fibres, other than of aramid, but of nylon/other polyamides; not carded, combed/othw. processed for spinning.",550310
551323,1996,Dyed :-- Other woven fabrics of polyester staple fibres,551322
551323,2002,Other woven fabrics of polyester staple fibres,551322
551323,2007,"Dyed Woven fabrics of synthetic, polyester staple fibres, other than of plain weave,  containing less than 85 % by weight of such fibres, mixed mainly/solely with cotton, of a weight not > 170 g/m2.",551322
551332,1996,"Of yarns of different colours :-- 3-thread or 4-thread twill, including cross twill, of polyester staple fibres",551339
551332,2002,"3thread or 4thread twill, including cross twill, of polyester staple fibres",551339
551333,1996,Of yarns of different colours :-- Other woven fabrics of polyester staple fibres,551339
551333,2002,Other woven fabrics of polyester staple fibres,551339
551342,1996,"Printed :-- 3-thread or 4-thread twill, including cross twill, of polyester staple fibres",551349
551342,2002,"3thread or 4thread twill, including cross twill, of polyester staple fibres",551349
551343,1996,Printed :-- Other woven fabrics of polyester staple fibres,551349
551343,2002,Other woven fabrics of polyester staple fibres,551349
551419,1996,Unbleached or bleached :-- Other woven fabrics,551413
551419,2002,Other woven fabrics,551413
551419,2007,"Unbleached/bleached Woven fabrics of synthetic staple fibres, other than of plain weave,and of 3/4 thread twill/cross twill,containing less than 85 % by weight of such fibres, mixed mainly/solely with cotton, of a weight exceeding 170 g/m2.",551413
551431,1996,"Of yarns of different colours :-- Of polyester staple fibres, plain weave",551430
551431,2002,"Of polyester staple fibres, plain weave",551430
551432,1996,"Of yarns of different colours :-- 3-thread or 4-thread twill, including cross twill, of polyester staple fibres",551430
551432,2002,"3thread or 4thread twill, including cross twill, of polyester staple fibres",551430
551433,1996,Of yarns of different colours :-- Other woven fabrics of polyester staple fibres,551430
551433,2002,Other woven fabrics of polyester staple fibres,551430
551439,1996,Of yarns of different colours :-- Other woven fabrics,551430
551439,2002,Other woven fabrics,551430
551599,1996,Other woven fabrics :-- Other,551592
551599,2002,Other,551592
551599,2007,"Woven fabrics of synthetic staple fibres,n.e.s. in 55.12 -55.15",551592
560490,1996,Other,560420
560490,2002,Other,560420
560490,2007,"Other type of rubber thread & cord, textile covered",560420
560730,1996,Of abaca (Manila hemp or Musa textilis Nee) or other hard (leaf) fibres,560790
570251,1996,"Other, not of pile construction, not made up :-- Of wool or fine animal hair",570250
570251,2002,Of wool or fine animal hair,570250
570252,1996,"Other, not of pile construction, not made up :-- Of man-made textile materials",570250
570252,2002,Of manmade textile materials,570250
570259,1996,"Other, not of pile construction, not made up :-- Of other textile materials",570250
570259,2002,Of other textile materials,570250
580310,1996,Of cotton,580300
580310,2002,Of cotton,580300
580390,1996,Of other textile materials,580300
580390,2002,Of other textile materials,580300
590491,1996,Other :-- With a base consisting of needleloom felt or nonwovens,590490
590492,1996,Other :-- With other textile base,590490
600240,2002,Containing by weight 5 % or more of elastomeric yarn but not containing rubber thread,600210
600240,2007,"Knitted/crocheted fabrics of a width not > 30 cm, containing by weight 5 %/more of elastomeric yarn but not containing rubber thread, other than those of heading 60.01.",600210
600290,2002,Other,600210
600290,2007,"Other Knitted/crocheted fabrics of a width not > 30 cm, other than those of heading 60.01 & 6002.40",600210
600310,2002,Of wool or fine animal hair,600220
600310,2007,"Knitted/crocheted fabrics of wool/fine animal hair, a width not > 30 cm, other than those of heading 60.01/60.02.",600220
600320,2002,Of cotton,600220
600320,2007,"Knitted/crocheted fabrics of cotton, a width not > 30 cm, other than those of heading 60.01/60.02.",600220
600330,2002,Of synthetic fibres,600220
600330,2007,"Knitted/crocheted fabrics of synthetic fibres, a width not > 30 cm, other than those of heading 60.01/60.02.",600220
600340,2002,Of artificial fibres,600220
600340,2007,"Knitted/crocheted fabrics of artificial fibres, a width not > 30 cm, other than those of heading 60.01/60.02.",600220
600390,2002,Other,600220
600390,2007,"Knitted/crocheted fabrics other than of wool/fine animal hair/cotton/synthetic fibres/ artificial fibres, of a width not > 30 cm, other than those of heading 60.01/60.02.",600220
600410,2002,Containing by weight 5 % or more of elastomeric yarn but not containing rubber thread,600230
600410,2007,"Knitted/crocheted fabrics of a width >30cm, containing by weight 5%/more of elastomeric yarn/rubber thread but not containing rubbr thread (excl. of 60.01)",600230
600490,2002,Other,600230
600490,2007,"Knitted/crocheted fabrics of a width >30cm, containing by weight 5%/more of elastomeric yarn/rubber thread (excl. of 60.01 & 6004.10)",600230
600521,2002,Unbleached or bleached,600242
600521,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of cotton, unbleached/bleached",600242
600522,2002,Dyed,600242
600522,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of cotton, dyed",600242
600523,2002,Of yarns of different colours,600242
600523,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of cotton, of yarns of different colours",600242
600524,2002,Printed,600242
600524,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of cotton, printed",600242
600531,2002,Unbleached or bleached,600243
600531,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of synthetic fibres, unbleached/bleached",600243
600532,2002,Dyed,600243
600532,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of synthetic fibres, dyed",600243
600533,2002,Of yarns of different colours,600243
600533,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of synthetic fibres, of yarns of different colours",600243
600534,2002,Printed,600243
600534,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of synthetic fibres, printed",600243
600541,2002,Unbleached or bleached,600243
600541,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of artificial fibres, unbleached/bleached",600243
600542,2002,Dyed,600243
600542,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of artificial fibres, dyed",600243
600543,2002,Of yarns of different colours,600243
600543,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of artificial fibres, of yarns of different colours",600243
600544,2002,Printed,600243
600544,2007,"Warp knit fabrics. incl. those made on galloon knitting machines (excl. of 60.01-60.04), of artificial fibres, printed",600243
600621,2002,Unbleached or bleached,600292
600621,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of cotton, unbleached/bleached",600292
600622,2002,Dyed,600292
600622,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of cotton, dyed",600292
600623,2002,Of yarns of different colours,600292
600623,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of cotton, of yarns of different colours",600292
600624,2002,Printed,600292
600624,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of cotton, printed",600292
600631,2002,Unbleached or bleached,600293
600631,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of synthetic fibres, unbleached/bleached",600293
600632,2002,Dyed,600293
600632,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of synthetic fibres, dyed",600293
600633,2002,Of yarns of different colours,600293
600633,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of synthetic fibres, of yarns of different colours",600293
600634,2002,Printed,600293
600634,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of synthetic fibres, printed",600293
600641,2002,Unbleached or bleached,600293
600641,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of artificial fibres, unbleached/bleached",600293
600642,2002,Dyed,600293
600642,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of artificial fibres, dyed",600293
600643,2002,Of yarns of different colours,600293
600643,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of artificial fibres, of yarns of different colours",600293
600644,2002,Printed,600293
600644,2007,"Knitted/crocheted fabrics, n.e.s. in Ch.60, of artificial fibres, printed",600293
600249,1996,"Other fabrics, warp knit (including those made on galloon knitting machines) :-- Other",600590
600291,1996,Other :-- Of wool or fine animal hair,600610
600299,1996,Other,600690
610190,1996,Of other textile materials,610110
610190,2002,Of other textile materials,610110
610190,2007,"Men's/boys' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles of other textile materials, other than of cotton/man-made fibres, knitted/crocheted, other than those of heading 61.03.",610110
610311,1996,Suits :-- Of wool or fine animal hair,610310
610311,2002,Of wool or fine animal hair,610310
610312,1996,Suits :-- Of synthetic fibres,610310
610312,2002,Of synthetic fibres,610310
610319,1996,Suits :-- Of other textile materials,610310
610319,2002,Of other textile materials,610310
610329,1996,Suits :-- Of other textile materials,610321
610329,2002,Of other textile materials,610321
610329,2007,"Men's/boys' ensembles, of other textile materials other than of cotton & synthetic fibres, knitted/crocheted.",610321
610411,1996,Suits :-- Of wool or fine animal hair,610419
610411,2002,Of wool or fine animal hair,610419
610412,1996,Suits :-- Of cotton,610419
610412,2002,Of cotton,610419
610429,1996,Ensembles :-- Of other textile materials,610421
610429,2002,Of other textile materials,610421
610429,2007,"Women's/girls' ensembles of other textile materials, other than of cotton/synthetic fibres, knitted/crocheted.",610421
610799,1996,Other :-- Of other textile materials,610792
610799,2002,Of other textile materials,610792
610799,2007,"Men's/boys' bathrobes, dressing gowns & similar articles, of other textile materials, not of cotton, knitted/crocheted.",610792
611011,2002,Of wool,611010
611011,2007,"Jerseys, pullovers, cardigans, waist-coats & similar articles, knitted/crocheted, of wool",611010
611012,2002,Of Kashmir (cashmere) goats,611010
611012,2007,"Jerseys, pullovers, cardigans, waist-coats & similar articles, knitted/crocheted, of Kashmir (cashmere) goats",611010
611019,2002,Other,611010
611019,2007,"Jerseys, pullovers, cardigans, waist-coats & similar articles, knitted/crocheted, of fine animal hair other than of Kashmir (cashmere) goats",611010
611190,1996,Of other textile materials,611110
611190,2002,Of other textile materials,611110
611190,2007,"Babies' garments & clothing accessories, of other textile materials, other than of cotton/synthetic fibres, knitted/crocheted.",611110
611510,2007,"Graduated compression hosiery (eg. stockings for varicose veins) & footwear without applied soles, knitted/crocheted.",611490
611511,1996,"Panty hose and tights :- Panty hose and tights :-- Of synthetic fibres, measuring per single yarn less than 67 decitex",611490
611511,2002,"Of synthetic fibres, measuring per single yarn less than 67 decitex",611490
611512,1996,"Panty hose and tights :- Panty hose and tights :-- Of synthetic fibres, measuring per single yarn 67 decitex or more",611490
611512,2002,"Of synthetic fibres, measuring per single yarn 67 decitex or more",611490
611519,1996,Panty hose and tights :-- Of other textile materials,611490
611519,2002,Of other textile materials,611490
611520,1996,"Women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",611490
611520,2002,"Women's fulllength or kneelength hosiery, measuring per single yarn less than 67 decitex",611490
611521,2007,"Panty hose, tights, stockings, socks & other hosiery, & footwear without applied soles, of synthetic fibres, measuring per single yarn less than 67 decitex, knitted/crocheted.",611490
611522,2007,"Panty hose, tights, stockings, socks & other hosiery, & footwear without applied soles, of synthetic fibres, measuring per single yarn 67 decitex/more, knitted/crocheted.",611490
611529,2007,"Panty hose, tights, stockings, socks & other hosiery, & footwear without applied soles, of other textile materials, other than of synthetic fibres, knitted/crocheted.",611490
611530,2007,"Other women's full-length/knee-length hosiery, measuring per single yarn less than 67 decitex, knitted/crocheted.",611490
611591,1996,Other :-- Of wool or fine animal hair,611490
611591,2002,Of wool or fine animal hair,611490
611592,1996,Other :-- Of cotton,611490
611592,2002,Of cotton,611490
611593,1996,Other :-- Of synthetic fibres,611490
611593,2002,Of synthetic fibres,611490
611594,2007,"Other n.e.s. in 61.15, knitted/crocheted, of wool/fine animal hair.",611490
611595,2007,"Other n.e.s. in 61.15, knitted/crocheted, of cotton.",611490
611596,2007,"Other n.e.s. in 61.15, knitted/crocheted, of synthetic fibres.",611490
611599,1996,Other :-- Of other textile materials,611490
611599,2002,Of other textile materials,611490
611599,2007,"Other n.e.s. in 61.15, knitted/crocheted, of other textile materials.",611490
611780,1996,Other accessories,611720
611780,2002,Other accessories,611720
611780,2007,"Other made up clothing accessories, other than shawls/scarve/mufflers/mantillas/veils, knitted/crocheted;",611720
620329,1996,Ensembles :-- Of other textile materials,620321
620329,2002,Of other textile materials,620321
620329,2007,"Men's/boys' ensembles (excl. knitted/crocheted), of other textile materials, other than of synthetic fibres/cotton.",620321
620590,1996,Of other textile materials,620510
620590,2002,Of other textile materials,620510
620590,2007,"Men's/boys' shirts (exclud. knitted/crocheted), of other textile materials, other than of cotton/man-made fibres.",620510
620799,1996,Other :-- Of other textile materials,620792
620799,2002,Of other textile materials,620792
620799,2007,"Men's/boys' singlets & other vests, bathrobes, dressing gowns & similar articles (excl. knitted/crocheted), of other textil materials, not of cotton",620792
620990,1996,Of other textile materials,620910
620990,2002,Of other textile materials,620910
620990,2007,"Babies' garments & clothing accessories (excl. knitted/crocheted), of other textile materials, other than of synthetic Fibres/cotton.",620910
621139,1996,"Other garments, men's or boys' :-- Of other textile materials",621131
621139,2002,Of other textile materials,621131
621139,2007,"Track suits (excl. knitted/crocheted), men's/boys'; other garments, n.e.s. (excl. knitted/crocheted), men's/boys', of other textile materials, other than of cotton/man-made fibres.",621131
621390,1996,Of other textile materials,621310
621390,2002,Of other textile materials,621310
621390,2007,"Handkerchiefs, of other textile materials, not of cotton.",621310
630259,1996,Other table linen :-- Of other textile materials,630252
630259,2002,Of other textile materials,630252
630259,2007,"Table linen (excl. knitted/crocheted), of other textile materials, other than of man-made fibres/cotton",630252
630299,1996,Other :-- Of other textile materials,630292
630299,2002,Of other textile materials,630292
630299,2007,"Toilet linen & kitchen linen of other textile materials, other than of terry fabrics/man-made fibres/cotton.",630292
630319,1996,Knitted or crocheted :-- Of other textile materials,630311
630319,2002,Of other textile materials,630311
