Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
140300,2002,"Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn, piassava, couchgrass and istle), whether or not in hanks or bundles.",140490
140310,1996,Broomcorn (Sorghum vulgare var.technicum),140490
140390,1996,Other,140490
140410,1996,Raw vegetable materials of a kind used primarily in dyeing or tanning,140490
140410,2002,Raw vegetable materials of a kind used primarily in dyeing or tanning,140490
150510,1996,"Wool grease, crude",150500
150590,1996,Other,150500
151411,2002,Crude oil,151410
151411,2007,"Low erucic acid rape/colza oil, crude",151410
151491,2002,Crude oil,151410
151491,2007,"Rape/colza oil (excl. low erucic acid oil) & mustard oil, crude",151410
151419,2002,Other,151490
151419,2007,"Low erucic acid rape/colza oil, other than crude, & fractions thereof , whether/not refined but not chemically modified",151490
151499,2002,Other,151490
151499,2007,"Rape/colza oil (excl. low erucic acid oil) & mustard oil, other than crude, & fractions thereof , whether/not refined but not chemically modified",151490
151560,1996,Jojoba oil and its fractions,151590
190490,1996,Other,190430
190490,2002,Other,190430
190490,2007,"Cereals other than maize (corn) in grain form/in the form of flakes/other worked grains (excl. flour/groats/meal), pre-cooked/othw. prepd, n.e.s.",190430
190531,2002,Sweet biscuits,190530
190531,2007,Sweet biscuits,190530
190532,2002,Waffles and wafers,190530
190532,2007,Waffles & wafers,190530
200120,1996,Onions,200190
200310,1996,Mushrooms,200390
200310,2002,Mushrooms of the genus Agaricus,200390
200310,2007,"Mushrooms of the genus Agaricus, prepared/preserved othw. than by vinegar/acetic acid",200390
200591,2007,"Bamboo shoots, prepared/preserved othw. than by vinegar/acetic acid, not frozen, other than products of heading 20.06",200590
200599,2007,"Vegetables & mixtures of vegetables (excl. of 2005.10-2005.91), prepared/preserved othw. than by vinegar/acetic acid, not frozen, other than products of heading 20.06",200590
200919,1996,Orange juice :-- Other,200912
200919,2002,Other,200912
200919,2007,"Orange juice, not frozen (excl. of 2009.19), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200912
200921,2002,Of a Brix value not exceeding 20,200920
200921,2007,"Grapefruit juice, of a Brix value not >20, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200920
200929,2002,Other,200920
200929,2007,"Grapefruit juice (excl. of 2009.21), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200920
200931,2002,Of a Brix value not exceeding 20,200930
200931,2007,"Juice of any single citrus fruit other than orange/grapefruit, of a Brix value not >20, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200930
200939,2002,Other,200930
200939,2007,"Juice of any single citrus fruit other than orange/grapefruit (excl. of 2009.31), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200930
200941,2002,Of a Brix value not exceeding 20,200940
200941,2007,"Pineapple juice, of a Brix value not >20, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200940
200949,2002,Other,200940
200949,2007,"Pineapple juice (excl. of 2009.41), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200940
200961,2002,Of a Brix value not exceeding 30,200960
200961,2007,"Grape juice, incl. grape must, of a Brix value not >30, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200960
200969,2002,Other,200960
200969,2007,"Grape juice, incl. grape must (excl. of 2009.61), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200960
200971,2002,Of a Brix value not exceeding 20,200970
200971,2007,"Apple juice, of a Brix value not >20, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200970
200979,2002,Other,200970
200979,2007,"Apple juice (excl. of 2009.71), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200970
230240,1996,Of other cereals,230220
230240,2002,Of other cereals,230220
230240,2007,"Bran, sharps & other residues, whether/not in the form of pellets, derived from the sifting/milling/other working of cereals other than maize (corn)/wheat",230220
230641,2002,Of low erucic acid rape or colza seeds,230640
